,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/astro_augmentation,config/batch_size_classifier,config/batch_size_encoder,config/beta_loss,config/encoder_name,config/image_size,config/lr_classifier,config/lr_encoder,config/method,config/optimizer_classifier,config/optimizer_encoder,config/projection_dim,config/temperature,config/with_features,logdir
131,0.200000,105.305533,False,,,1,7088e336958d42aab357855c85ac6749,2021-11-22_21-26-46,1637627206,105.305533,464773,deeptime,172.17.28.76,105.305533,0,1,c532e004,3,False,70,500,0.084197,resnet18,21,0.007120,0.027333,supcon,SGD,LARS,100,0.000396,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_c532e004
132,0.906000,94.680987,False,,,203,adbf99cc15bf4c51a08fe74848c33296,2021-11-23_02-40-54,1637646054,18826.758454,464774,deeptime,172.17.28.76,18826.758454,0,203,c674b53c,0,False,70,500,0.004408,resnet18,21,0.007120,0.008431,supcon,SGD,AdamW,100,0.034224,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_c674b53c
133,0.912000,95.377626,False,,,149,2c62e8de1b1548eaadf556e8744ba52a,2021-11-23_01-16-36,1637640996,13768.571721,464771,deeptime,172.17.28.76,13768.571721,0,149,07f9ee5a,1,False,70,500,0.004408,resnet18,21,0.007120,0.008431,supcon,SGD,AdamW,100,0.034224,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_07f9ee5a
134,0.910000,90.946187,False,,,124,1285e69a48124cc7b35950ac2cf001e0,2021-11-23_00-36-51,1637638611,11384.238995,464772,deeptime,172.17.28.76,11384.238995,0,124,0982daca,2,False,70,500,0.004408,resnet18,21,0.007120,0.008431,supcon,SGD,AdamW,100,0.034224,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_0982daca
135,0.912000,93.562544,False,,,187,0b0f4b2c80734ac7a4b7190de2f851ce,2021-11-23_02-17-54,1637644674,17446.706086,464777,deeptime,172.17.28.76,17446.706086,0,187,0982dacb,3,False,70,500,0.004408,resnet18,21,0.007120,0.008431,supcon,SGD,AdamW,100,0.034224,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_0982dacb
136,0.886000,97.109516,False,,,77,fa4e7e35a721457aac33be9b3ff1827c,2021-11-23_05-14-00,1637655240,7343.773946,653029,deeptime,172.17.28.76,7343.773946,0,77,0addc952,0,False,70,350,0.076076,resnet18,21,0.007120,1.643596,supcon,SGD,LARS,100,0.012887,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_0addc952
137,0.904000,100.404079,False,,,297,841ee779ed7c4bed8ac02c03532ea055,2021-11-23_11-48-32,1637678912,28571.674106,674893,deeptime,172.17.28.76,28571.674106,0,297,28c6ace2,1,False,70,350,0.076076,resnet18,21,0.007120,1.643596,supcon,SGD,LARS,100,0.012887,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_28c6ace2
138,0.902000,99.828744,False,,,284,1445f1b97fb54cfe933b97b9ec84dfb0,2021-11-23_12-30-48,1637681448,27517.481923,707428,deeptime,172.17.28.76,27517.481923,0,284,d9cfb25e,2,False,70,350,0.076076,resnet18,21,0.007120,1.643596,supcon,SGD,LARS,100,0.012887,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_d9cfb25e
139,0.870000,97.855047,False,,,105,2e25b9e1d3df48b5afec008b6b98fe15,2021-11-23_08-03-20,1637665400,10113.453091,719489,deeptime,172.17.28.76,10113.453091,0,105,37720ecc,3,False,70,350,0.076076,resnet18,21,0.007120,1.643596,supcon,SGD,LARS,100,0.012887,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_37720ecc
140,0.904000,104.960992,False,,,110,0e335b345a0e4be28e5a5671b7eeff34,2021-11-23_11-01-31,1637676091,11195.905677,807035,deeptime,172.17.28.76,11195.905677,0,110,5ebec31e,0,False,70,200,0.005794,resnet18,21,0.007120,2.857292,supcon,SGD,SGD,100,0.049846,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_5ebec31e
141,0.914000,102.063446,False,,,101,fe0392c144134a34be418b8c8c75f937,2021-11-23_13-39-06,1637685546,10373.201708,897210,deeptime,172.17.28.76,10373.201708,0,101,bf553e9a,1,False,70,200,0.005794,resnet18,21,0.007120,2.857292,supcon,SGD,SGD,100,0.049846,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_bf553e9a
142,0.906000,58.060116,False,,,96,4afb8500dbcb4fddbce02f1ec2f7a759,2021-11-23_16-15-24,1637694924,8543.110133,994309,deeptime,172.17.28.76,8543.110133,0,96,abc06ca2,2,False,70,200,0.005794,resnet18,21,0.007120,2.857292,supcon,SGD,SGD,100,0.049846,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_abc06ca2
143,0.912000,57.272392,False,,,163,cf721b017ee04ebba3fff98404fe04d1,2021-11-23_17-40-48,1637700048,11361.430015,1014330,deeptime,172.17.28.76,11361.430015,0,163,c4b8cf96,3,False,70,200,0.005794,resnet18,21,0.007120,2.857292,supcon,SGD,SGD,100,0.049846,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_c4b8cf96
