,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/image_size,config/lr,config/optimizer,config/with_features,logdir
28,0.890000,26.591670,False,,,27,8fc85b76ec5a416da0a90f7b31577538,2022-05-09_18-09-37,1652134177,716.080934,3726384,deepsleep,172.17.28.75,716.080934,0,27,c300faa0,1,rotation_v3,False,60,0.000225,27,0.000481,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_c300faa0
29,0.886000,26.690720,False,,,44,c52bcf523c5a4f2e9637d0bb38399317,2022-05-09_18-26-21,1652135181,1192.349301,3730785,deepsleep,172.17.28.75,1192.349301,0,44,089899ce,2,rotation_v3,False,60,0.000225,27,0.000481,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_089899ce
30,0.868000,95.717595,False,,,41,7fb5c650ed1e4e6fa7a848254c3e2a9f,2022-05-09_19-46-44,1652140004,3959.126385,3749794,deepsleep,172.17.28.75,3959.126385,0,41,434d64c2,0,rotation_v3,False,15,0.190545,27,0.004049,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_434d64c2
31,0.876000,97.005706,False,,,82,214ad54d72134ba1ada2c819083c0dfb,2022-05-09_21-10-56,1652145056,8034.267052,3755842,deepsleep,172.17.28.75,8034.267052,0,82,0d1d1e24,1,rotation_v3,False,15,0.190545,27,0.004049,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_0d1d1e24
32,0.866000,96.670146,False,,,51,ec15d846d70447f7a83ff1f0fd37bdac,2022-05-09_23-05-11,1652151911,4995.627587,3785208,deepsleep,172.17.28.75,4995.627587,0,51,532b1cb6,2,rotation_v3,False,15,0.190545,27,0.004049,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_532b1cb6
33,0.898000,30.356814,False,,,28,73f652f9cb3b4200af0e6f1ca8c24fef,2022-05-09_23-21-17,1652152877,857.767352,3799665,deepsleep,172.17.28.75,857.767352,0,28,5c01ddc2,0,rotation_v3,False,60,0.095035,63,0.000738,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_5c01ddc2
34,0.900000,29.975317,False,,,76,6b84bfcbc6d246a3bdf242c3ec55c99f,2022-05-10_00-35-09,1652157309,2298.743537,3815702,deepsleep,172.17.28.75,2298.743537,0,76,3e59ed26,1,rotation_v3,False,60,0.095035,63,0.000738,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_3e59ed26
35,0.898000,30.088781,False,,,36,2b05c026fb204648a88d23c0f6cad3f8,2022-05-10_01-19-11,1652159951,1107.174809,3836375,deepsleep,172.17.28.75,1107.174809,0,36,35531228,2,rotation_v3,False,60,0.095035,63,0.000738,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_35531228
36,0.894000,53.678334,False,,,32,3f442df52d314aa3953c7540bbdcae0a,2022-05-10_01-39-21,1652161161,1712.052433,3841275,deepsleep,172.17.28.75,1712.052433,0,32,22086dea,0,rotation_v3,False,30,0.860430,63,0.000886,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_22086dea
37,0.902000,51.791118,False,,,113,a0df6812254143018e7408a201ab0236,2022-05-10_03-32-26,1652167946,5882.410547,3858106,deepsleep,172.17.28.75,5882.410547,0,113,8a7867ee,1,rotation_v3,False,30,0.860430,63,0.000886,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_8a7867ee
